lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,Milio,milio,51.54,Pantheon,pantheon,55.79,1045,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Poppy,poppy,53.38,592,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Pyke,pyke,51.47,2339,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Rakan,rakan,51.28,1796,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Rell,rell,50.38,1181,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Renata Glasc,renata,51.59,659,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Senna,senna,50.56,2405,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Seraphine,seraphine,51.10,2282,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Shaco,shaco,51.11,405,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Sona,sona,48.47,3425,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Soraka,soraka,49.79,2828,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Swain,swain,54.01,1233,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Tahm Kench,tahmkench,53.48,847,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Taric,taric,52.24,557,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Thresh,thresh,50.10,6110,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Vel'Koz,velkoz,52.35,1232,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Xerath,xerath,53.36,1042,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Yuumi,yuumi,52.54,2223,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Zilean,zilean,50.09,1603,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Zoe,zoe,57.28,323,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Zyra,zyra,49.92,1252,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Morgana,morgana,50.91,Alistar,alistar,56.02,1305,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Ashe,ashe,51.41,177,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Bard,bard,49.59,1585,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Blitzcrank,blitzcrank,49.10,2106,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Brand,brand,51.04,625,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Braum,braum,50.03,3234,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Elise,elise,55.95,227,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Fiddlesticks,fiddlesticks,50.00,148,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Janna,janna,48.12,929,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Karma,karma,47.27,2854,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,LeBlanc,leblanc,47.66,128,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Leona,leona,53.10,3143,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Lulu,lulu,47.98,2297,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
support,Morgana,morgana,50.91,Lux,lux,49.85,1336,https://op.gg/lol/champions/morgana/counters/support,2026-02-13T18:24:59.124274+00:00
